year,y,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x13,x14,x15
1990,2.2,2554,4763,141.4,29.35,80.31,31.74,72.46,2777,89.31,167.35,5963.14,2506.1,1771.67
1991,3.6,3390,5070,169.87,32.75,98.39,38.73,88.69,3315,107.17,21815,6158.13,2679.4,1868.95
1992,5.3,4367,6492,213.05,35.32,128.7,49.03,116.2,4133,128.57,282.9,6520.33,2763.7,2131.57
1993,7.9,5321,7583,315.11,46.09,189.12,79.9,165.61,6079,192.06,430.65,6858.56,2814.6,2071.32
1994,12.5,5850,8711,459.66,63.47,260.98,135.21,227.59,8816,276.98,480.46,7287.24,2899.9,2205.07
1995,16,6853,9577,602.65,81.11,338.99,182.55,295.9,11489,357.05,664.7,7639.75,3038.6,2585.79
1996,20.2,7638,10460,784.07,92.21,442.64,249.22,390.74,14846,407.73,722.15,8073.12,3191.2,2497.24
1997,25.7,8220,10547,879.1,84.53,500.05,294.52,452.24,16534,496.05,747.5,8577.55,3278.1,2211.99
1998,35.3,8707,10317,952.79,87.77,528.73,336.29,478.67,17833,567.09,835.24,9062.82,3272.8,2238.99
1999,60.1,9660,10344,1017.08,91.85,564.07,361.16,512.84,18946,668.71,985.32,9631.17,3307.9,2194.95
2000,90.2,11547,10819,1144.57,94.24,635.83,414.5,578.3,21208,829.69,1350.52,10250.95,3476.3,1947.98
2001,121.3,12852,11283,1278.75,98.52,690.81,489.42,624.92,23587,926.49,1538.7,10581.93,3568.4,1945.79
2002,185.8688,15398,12429,1453.34,103.6,793.01,556.73,715.24,23302,1058.9,1945.02,10929.11,3625.5,2078.48
2003,277.2214,18543,13919,1749.27,109.75,954.04,685.48,847.79,27493,1251.24,2604.9,11456.44,3753.8,2501.64
2004,400.5466,22586,16026,2119.65,120.54,1176.97,822.14,1036.42,32562,1602.75,3660.69,12217.19,3938.9,2814.35
2005,520.8055,26881,17664,2462.09,132.25,1355.66,974.18,1197.5,37046,1926.51,4698.16,13039.2,4135.7,2846.86
2006,706.789,30969,22238,2891.84,132.73,1602.88,1156.23,1434.14,42555,2469.35,6930.59,13815.59,4321.8,2994.7
2007,935.0027,34519,24363,3449.62,150.87,1923.42,1375.33,1731.59,49588,2886.87,7456.24,14474.23,4504.5,3425.58
2008,1084.6295,36185,27508,3982.92,165.95,2224.4,1592.56,1989.04,56129,3422.49,8283.18,14769.86,4534.6,3745.26
2009,943.4464,38385,29028,4405.12,182.04,2400.69,1822.39,2141.05,61051,3908.81,7824.88,14478.06,4303.9,3411.26
2010,1300.3548,41217,30553,5264.7,216.66,2915.09,2132.95,2613.74,70734,4431.4,10396.63,15048.96,4534.1,3399.67
2011,1451.2366,43339,31228,6212.56,251.58,3394.02,2566.96,3031.87,80359,4543.83,11803.24,15599.73,4629.4,3749.31
2012,1567.1426,45303,32616,6862.02,263.99,3572.82,3025.21,3184.04,86358,4792.65,11795.98,16253.97,4799.6,3527.14
2013,1677.3709,49592,35409,7432.09,265.15,3794.14,3372.8,3381.56,91432,5092.25,12594.24,16843.19,5021.6,3733.8
2014,1870.036,52646,40407,7904.81,267.6,4108.26,3528.95,3636.71,95055,5595.92,13254.65,17550.68,5034.5,3889.09
2015,1982.4349,51005,42083,8295.35,275.13,4210.91,3809.31,3717.89,97604,5989.39,12911.27,18206.02,5200.9,3357.59
2016,2069.2539,49619,46258,8972.83,290.72,4463.78,4218.33,3953.81,103672,6467.45,13639.11,18695.11,5159.7,3469.85
2017,2356.5907,55151,52520,10146.55,297.05,5119.01,4730.49,4579.74,115099,6866.73,15643.88,19477.34,5248.4,3690.85
2018,2509.5101,57652,61454,11193.14,302.33,5507.15,5383.66,4898.77,124244,7368.9,16861.05,20533.06,5408.4,3974.44
2019,2616.9825,58413,68407,12035.11,323.14,5686.34,6025.63,5047.01,130752,7904.97,17482.25,21380.98,5485.4,3888.23
2020,2705.3738,60098,71898,12599.22,338.52,5793.11,6467.59,5147.04,134650,8531.2,17790.51,21060.47,5295.1,3889.67
2021,2937.2789,62340,78747,14703.2,359.28,6867.26,7476.66,6163.12,155064,9625.69,22513.83,23315.08,5682.9,4259.93
2022,3077.7647,63722,80100,15704.3,381.99,7413.47,7908.84,6681.72,163911,10639.05,24373.36,25464.5,6110,5316.9
