date,y,集装箱吞吐量重量(万吨),外贸货物吞吐量(万吨),GDP(亿元),第二产业,第三产业,全市常住人口数(万人),美国GDP,德国GDP,汉堡港集装箱吞吐量(万TEU),洛杉矶港集装箱吞吐量(TEU)
2000,561.2,5169.6,7633,4812.15,2215.75,2521.64,1608.6,10250.95,1947.98,430,4879429
2001,634,5911.4,8653,5257.66,2413.83,2767.78,1668.33,10581.93,1945.79,470,5183520
2002,861.2,7821.7,10609,5795.02,2635.28,3082.05,1712.97,10929.11,2078.48,540,6105863
2003,1128.25,10225.1,12968,6804.04,3239.62,3485.43,1765.84,11456.44,2501.64,610,7178940
2004,1455.4,13294,15386,8101.55,3872.16,4148.02,1834.98,12217.19,2814.35,700,7321440
2005,1808.4,16250,18492,9197.13,4314.9,4794.17,1890.26,13039.2,2846.86,810,7484624
2006,2171.9,19595,21268,10598.86,4929.16,5578.15,1964.11,13815.59,2994.7,890,8469853
2007,2615.2,23850,25570,12878.68,5677.51,7101.78,2063.58,14474.23,3425.58,990,8355039
2008,2800.6,25992,27377,14536.9,3215.45,11212.08,2140.65,14769.86,3745.26,970,7849985
2009,2500.2,24619,25811,15742.44,3184.79,12445.28,2210.28,14478.06,3411.26,700,6748995
2010,2906.9,27992,30225,17915.41,7434.89,10366.07,2302.66,15048.96,3399.67,790,7831902
2011,3173.9,31220,33778,20009.68,8169.34,11713.9,2355.53,15599.73,3749.31,900,7940511
2012,3252.9,32480,35825,21305.59,8174.13,13002.13,2398.5,16253.97,3527.14,890,8077714
2013,3361.7,34243,37706,23204.12,8286.53,14785.96,2448.43,16843.19,3733.8,930,7868582
2014,3258.5,35335,38232,25269.75,8633.25,16504.54,2467.06,17550.68,3889.09,970,8340066
2015,3653.7,35850,37797,26887.02,8408.65,18352.84,2457.59,18206.02,3357.59,880,8160458
2016,3713.3,36736,38012,29887.02,8570.24,21202.44,2467.37,18695.11,3469.85,890,8856783
2017,4023.3,39759,41043,32925.01,9525.89,23288.34,2466.28,19477.34,3690.85,880,9343193
2018,4201,41126,40206,36011.82,10360.78,25546.26,2475.39,20533.06,3974.44,870,9458748
2019,4330.3,42314,39659,37987.55,10193.6,27686.89,2481.34,21380.98,3888.23,930,9337632
2020,4350.3,43473,38917,38963.3,10258.57,28597.05,2488.36,21060.47,3889.67,850,9213396
2021,4703.3,45691,41489,43214.85,11449.32,31665.56,2489.43,23315.08,4259.93,870,10677610
